Kode MK,Nama MK,SKS,Wajib / Pilihan,Semester,Bidang Ilmu Umum,Cabang Ilmu,Ranting Ilmu
CIF61233,Administrasi sistem server,3,Pilihan,Ganjil,INFRASTRUKTUR & PERANGKAT KERAS,LAYANAN INTERNET,Sistem Terdistribusi
CIF62342,Algoritma Evolusi dan Kecerdasan Berkoloni,3,Pilihan,Genap,KECERDASAN ARTIFISIAL,KECERDASAN BUATAN,Optimasi
CIF62344,Analitik Big Data,3,Pilihan,Genap,KECERDASAN ARTIFISIAL,KECERDASAN BUATAN,Pembelajaran Mesin
CIF61124,Arsitektur Berbasis Layanan,4,Pilihan,Ganjil,PERANGKAT LUNAK,TEKNOLOGI REKAYASA INFORMATIKA INDUSTRI,Arsitektur Enterprise
CIF62232,Arsitektur jaringan modern,3,Pilihan,Genap,INFRASTRUKTUR & PERANGKAT KERAS,TEKNOLOGI REKAYASA JARINGAN,Infrastruktur Jaringan
CIF61346,Deep Learning,3,Pilihan,Ganjil,KECERDASAN ARTIFISIAL,KECERDASAN BUATAN,Pembelajaran Mesin
CIF60038,DevSecOps,4,Pilihan,Ganjil/Genap,PERANGKAT LUNAK,REKAYASA PERANGKAT LUNAK,Rekayasa Perangkat Lunak
CIF62122,Enterprise Application Integration,4,Pilihan,Genap,PERANGKAT LUNAK,TEKNOLOGI REKAYASA INFORMATIKA INDUSTRI,Arsitektur Enterprise
CIF61235,Forensik Digital,3,Pilihan,Ganjil,KECERDASAN ARTIFISIAL,TEKNOLOGI REKAYASA MULTIMEDIA,Forensik Digital
CIF61230,Jaringan komputer lanjut,3,Pilihan,Ganjil,INFRASTRUKTUR & PERANGKAT KERAS,REKAYASA KOMPUTER,Rekayasa Jaringan Komputer
CIF62234,Jaringan Sensor Nirkabel,3,Pilihan,Genap,INFRASTRUKTUR & PERANGKAT KERAS,TEKNOLOGI REKAYASA JARINGAN,Jaringan Nirkabel
CIF62237,Keamanan aplikasi berbasis web,4,Pilihan,Genap,INFRASTRUKTUR & PERANGKAT KERAS,TEKNIK PENGAMANAN SIBER,Keamanan Sistem Komputer
CIF61236,Keamanan Jaringan,3,Pilihan,Ganjil,INFRASTRUKTUR & PERANGKAT KERAS,TEKNIK PENGAMANAN SIBER,Keamanan Jaringan Komputer
CIF60048,Machine Learning Operations (MLOps),4,Pilihan,Ganjil/Genap,KECERDASAN ARTIFISIAL,KECERDASAN BUATAN,Pembelajaran Mesin
CIF62340,Pemerolehan Informasi dan Penambangan Teks,4,Pilihan,Genap,KECERDASAN ARTIFISIAL,KECERDASAN BUATAN,Pemrosesan Bahasa Alami
CIF61125,Pemrograman Gim,4,Pilihan,Ganjil,PERANGKAT LUNAK,TEKNOLOGI PERMAINAN,Pengembangan Gim
CIF62127,Pemrograman Sistem Interaktif,4,Pilihan,Genap,PERANGKAT LUNAK,TEKNOLOGI REKAYASA MULTIMEDIA,Interaksi Manusia dan Komputer
CIF61341,Pemrosesan Bahasa Alami,3,Pilihan,Ganjil,KECERDASAN ARTIFISIAL,KECERDASAN BUATAN,Pemrosesan Bahasa Alami
CIF61347,Penerapan Kecerdasan Artifisial,3,Pilihan,Ganjil,KECERDASAN ARTIFISIAL,KECERDASAN BUATAN,Ilmu Komputer
CIF61339,Pengolahan Citra Digital dan Visi Komputer,4,Pilihan,Ganjil,KECERDASAN ARTIFISIAL,KECERDASAN BUATAN,Visi Komputer
CIF62128,Pengujian Perangkat Lunak,3,Pilihan,Genap,PERANGKAT LUNAK,REKAYASA PERANGKAT LUNAK,Rekayasa Kebutuhan Perangkat Lunak
CIF62120,Penjaminan Kualitas Perangkat Lunak,3,Pilihan,Genap,PERANGKAT LUNAK,REKAYASA PERANGKAT LUNAK,Rekayasa Kebutuhan Perangkat Lunak
CIF62231,Penyediaan dan Automasi Layanan,3,Pilihan,Genap,INFRASTRUKTUR & PERANGKAT KERAS,LAYANAN INTERNET,Sistem Terdistribusi
CIF62123,Perancangan Pengalaman Pengguna,3,Pilihan,Genap,PERANGKAT LUNAK,TEKNOLOGI REKAYASA MULTIMEDIA,Interaksi Manusia dan Komputer
CIF61121,Pola Perancangan,3,Pilihan,Ganjil,PERANGKAT LUNAK,REKAYASA PERANGKAT LUNAK,Rekayasa Perangkat Lunak
CIF61126,Realitas terkembang,3,Pilihan,Ganjil,PERANGKAT LUNAK,TEKNOLOGI REKAYASA MULTIMEDIA,Interaksi Manusia dan Komputer
CIF62345,Rekayasa Data dan Visualisasi,3,Pilihan,Genap,KECERDASAN ARTIFISIAL,KECERDASAN BUATAN,Visi Komputer
CIF62343,Sistem Berbasis Pengetahuan,4,Pilihan,Genap,KECERDASAN ARTIFISIAL,KECERDASAN BUATAN,Sistem Pendukung Keputusan
CIF62229,Sistem Komputasi Terdistribusi,3,Pilihan,Genap,INFRASTRUKTUR & PERANGKAT KERAS,LAYANAN INTERNET,Sistem Terdistribusi
