Kode MK,Nama MK,SKS,Semester,Bidang Ilmu Umum,Cabang Ilmu,Ranting Ilmu
COM60004,Algoritma dan Struktur Data,3,3,KECERDASAN ARTIFISIAL,ILMU KOMPUTER ATAU INFORMATIKA,Kecerdasan Buatan
CIF62305,Aljabar Linear,2,2,KECERDASAN ARTIFISIAL,KECERDASAN BUATAN,Ilmu Komputer
CIF63106,Analisis dan Perancangan Sistem,5,3,PERANGKAT LUNAK,REKAYASA PERANGKAT LUNAK,Rekayasa Kebutuhan Perangkat Lunak
COM60011,Arsitektur dan Organisasi Komputer,2,1,INFRASTRUKTUR & PERANGKAT KERAS,TEKNOLOGI REKAYASA KOMPUTER,Arsitektur dan Organisasi Komputer
CIF62104,Basis Data,3,2,PERANGKAT LUNAK,REKAYASA PERANGKAT LUNAK,Rekayasa Perangkat Lunak
CIF64112,Desain dan Analisis Algoritma,2,4,KECERDASAN ARTIFISIAL,KECERDASAN BUATAN,Ilmu Komputer
COM60052 ,Etika Profesi,2,2,PERANGKAT LUNAK,REKAYASA PERANGKAT LUNAK,Rekayasa Perangkat Lunak
CIF63108,Interaksi Manusia dan Komputer,2,3,PERANGKAT LUNAK,TEKNOLOGI REKAYASA MULTIMEDIA,Interaksi Manusia dan Komputer
CIF63207,Jaringan Komputer,5,3,INFRASTRUKTUR & PERANGKAT KERAS,REKAYASA KOMPUTER,Rekayasa Jaringan Komputer
CIF65217,Jaringan Nirkabel,3,5,INFRASTRUKTUR & PERANGKAT KERAS,TEKNOLOGI REKAYASA JARINGAN,Jaringan Nirkabel
CIF65318,Jaringan Saraf Tiruan,3,5,KECERDASAN ARTIFISIAL,KECERDASAN BUATAN,Pembelajaran Mesin
COM60025,Kalkulus,2,1,KECERDASAN ARTIFISIAL,KECERDASAN BUATAN,Ilmu Komputer
CIF64213,Keamanan Informasi,5,4,INFRASTRUKTUR & PERANGKAT KERAS,TEKNIK PENGAMANAN SIBER,Keamanan Sistem Komputer
CIF63110,Kecerdasan Artifisial,2,3,KECERDASAN ARTIFISIAL,KECERDASAN BUATAN,Ilmu Komputer
CIF64311,Kecerdasan Artifisial Lanjut,5,4,KECERDASAN ARTIFISIAL,KECERDASAN BUATAN,Pembelajaran Mesin
UBU60003,Kewirausahaan,2,4,PERANGKAT LUNAK,REKAYASA PERANGKAT LUNAK,Rekayasa Perangkat Lunak
CIF65116,Komputer Grafis,2,5,KECERDASAN ARTIFISIAL,TEKNOLOGI REKAYASA KOMPUTER,Visi Komputer
COM60015,Matematika Diskret,2,2,KECERDASAN ARTIFISIAL,KECERDASAN BUATAN,Ilmu Komputer
CIF63309,Metode Numerik,3,3,KECERDASAN ARTIFISIAL,KECERDASAN BUATAN,Ilmu Komputer
COM60051,Metodologi Penelitian & Penulisan Ilmiah,3,5,PERANGKAT LUNAK,REKAYASA PERANGKAT LUNAK,Rekayasa Perangkat Lunak
CIF65115,Pemrograman Aplikasi Perangkat Bergerak,3,5,PERANGKAT LUNAK,PENGEMBANGAN APLIKASI MULTIPLATFORM,Pengembangan Aplikasi Perangkat Bergerak
COM60014,Pemrograman Dasar,5,1,PERANGKAT LUNAK,REKAYASA PERANGKAT LUNAK,Rekayasa Perangkat Lunak
COM60024,Pemrograman Lanjut,5,2,PERANGKAT LUNAK,REKAYASA PERANGKAT LUNAK,Rekayasa Perangkat Lunak
CIF64114,Pengembangan Aplikasi Web,3,4,PERANGKAT LUNAK,REKAYASA PERANGKAT LUNAK,Rekayasa Perangkat Lunak
COM60016,Pengenalan Keilmuan Komputer,2,1,KECERDASAN ARTIFISIAL,ILMU KOMPUTER ATAU INFORMATIKA,Kecerdasan Buatan
CIF61101,Rekayasa Perangkat Lunak,4,1,PERANGKAT LUNAK,REKAYASA PERANGKAT LUNAK,Rekayasa Perangkat Lunak
CIF62203,Sistem Operasi,5,2,INFRASTRUKTUR & PERANGKAT KERAS,LAYANAN INTERNET,Sistem Terdistribusi
CIF61302,Statistika dan Teori Peluang,2,1,KECERDASAN ARTIFISIAL,KECERDASAN BUATAN,Ilmu Komputer
CIF65319,Statistika inferensi,2,5,KECERDASAN ARTIFISIAL,KECERDASAN BUATAN,Ilmu Komputer
